▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1003ms
 GET /login 200 in 97ms (compile: 5ms, proxy.ts: 25ms, render: 67ms)
 GET /test-badge-grid 200 in 99ms (compile: 8ms, proxy.ts: 28ms, render: 62ms)
 GET /login 200 in 93ms (compile: 4ms, proxy.ts: 21ms, render: 67ms)
 GET /test-badge-grid 200 in 94ms (compile: 4ms, proxy.ts: 19ms, render: 70ms)
 GET /login 200 in 97ms (compile: 10ms, proxy.ts: 20ms, render: 67ms)
 GET /test-badge-grid 200 in 96ms (compile: 7ms, proxy.ts: 25ms, render: 64ms)
 GET /login 200 in 92ms (compile: 7ms, proxy.ts: 24ms, render: 62ms)
 GET /test-badge-grid 200 in 98ms (compile: 6ms, proxy.ts: 22ms, render: 70ms)
 GET /login 200 in 99ms (compile: 4ms, proxy.ts: 23ms, render: 72ms)
 GET /test-badge-grid 200 in 102ms (compile: 6ms, proxy.ts: 20ms, render: 76ms)
 GET /login 200 in 101ms (compile: 5ms, proxy.ts: 29ms, render: 67ms)
 GET /test-badge-grid 200 in 90ms (compile: 8ms, proxy.ts: 22ms, render: 60ms)
 GET /login 200 in 108ms (compile: 6ms, proxy.ts: 24ms, render: 78ms)
 GET /test-badge-grid 200 in 91ms (compile: 21ms, proxy.ts: 8ms, render: 63ms)
