
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 948ms
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 8ms, render: 19ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 5ms, render: 28ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 47ms (compile: 3ms, proxy.ts: 7ms, render: 37ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 6ms, render: 19ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 4ms, render: 25ms)
 GET /login 200 in 50ms (compile: 3ms, proxy.ts: 8ms, render: 39ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 36ms (compile: 9ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 55ms (compile: 3ms, proxy.ts: 8ms, render: 45ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /login 200 in 79ms (compile: 4ms, proxy.ts: 4ms, render: 70ms)
 GET /login 200 in 64ms (compile: 5ms, proxy.ts: 33ms, render: 25ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 7ms, render: 23ms)
 GET /login 200 in 35ms (compile: 3ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 25ms (compile: 2ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 25ms (compile: 4ms, proxy.ts: 6ms, render: 16ms)
 GET /login 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
