▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1079ms
 GET /login 200 in 43ms (compile: 3ms, proxy.ts: 4ms, render: 35ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 25ms (compile: 4ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 46ms (compile: 5ms, proxy.ts: 4ms, render: 37ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 4ms, render: 45ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 10ms, render: 22ms)
 GET /login 200 in 35ms (compile: 3ms, proxy.ts: 4ms, render: 28ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /login 200 in 61ms (compile: 10ms, proxy.ts: 5ms, render: 46ms)
 GET /login 200 in 70ms (compile: 7ms, proxy.ts: 10ms, render: 53ms)
 GET /login 200 in 65ms (compile: 6ms, proxy.ts: 5ms, render: 54ms)
 GET /login 200 in 49ms (compile: 3ms, proxy.ts: 7ms, render: 39ms)
 GET /login 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 37ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 45ms (compile: 4ms, proxy.ts: 4ms, render: 37ms)
 GET /login 200 in 45ms (compile: 3ms, proxy.ts: 6ms, render: 36ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 63ms (compile: 5ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 5ms, render: 44ms)
 GET /login 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 49ms (compile: 4ms, proxy.ts: 5ms, render: 40ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 6ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 41ms (compile: 11ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 53ms (compile: 5ms, proxy.ts: 6ms, render: 41ms)
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 24ms (compile: 5ms, proxy.ts: 5ms, render: 15ms)
✓ Compiled in 736ms
 GET /test-fire-scenarios 200 in 1095ms (compile: 845ms, proxy.ts: 81ms, render: 168ms)
 GET /test-rec-workflow 200 in 85ms (compile: 17ms, proxy.ts: 9ms, render: 60ms)
✓ Compiled in 908ms
 GET /test-fire-scenarios 404 in 569ms (compile: 442ms, proxy.ts: 7ms, render: 120ms)
 GET /test-fire-scenarios 200 in 120ms (compile: 30ms, proxy.ts: 7ms, render: 83ms)
✓ Compiled in 1043ms
 GET /test-fire-scenarios 200 in 1108ms (compile: 368ms, proxy.ts: 633ms, render: 106ms)
 GET /test-fire-scenarios 200 in 192ms (compile: 27ms, proxy.ts: 28ms, render: 136ms)
 GET /test-fire-scenarios 200 in 250ms (compile: 22ms, proxy.ts: 24ms, render: 204ms)
 GET /test-fire-scenarios 200 in 218ms (compile: 22ms, proxy.ts: 31ms, render: 166ms)
 GET /test-fire-scenarios 200 in 163ms (compile: 10ms, proxy.ts: 39ms, render: 113ms)
 GET /test-fire-scenarios 200 in 134ms (compile: 11ms, proxy.ts: 17ms, render: 106ms)
 GET /test-fire-scenarios 200 in 128ms (compile: 11ms, proxy.ts: 21ms, render: 96ms)
 GET /test-fire-scenarios 200 in 76ms (compile: 8ms, proxy.ts: 13ms, render: 55ms)
 GET /test-fire-scenarios 200 in 105ms (compile: 13ms, proxy.ts: 16ms, render: 75ms)
 GET /test-fire-scenarios 404 in 227ms (compile: 51ms, proxy.ts: 12ms, render: 164ms)
 GET /test-fire-scenarios 404 in 256ms (compile: 34ms, proxy.ts: 17ms, render: 204ms)
 GET /test-fire-scenarios 404 in 129ms (proxy.ts: 77ms)
 GET /test-fire-scenarios 404 in 387ms (compile: 106ms, proxy.ts: 18ms, render: 263ms)
 GET /api/test-rec-workflow 200 in 825ms (compile: 260ms, proxy.ts: 7ms, render: 558ms)
 GET /test-fire-scenarios 404 in 109ms (compile: 35ms, proxy.ts: 13ms, render: 62ms)
 GET /test-fire-scenarios 404 in 49ms (compile: 11ms, proxy.ts: 4ms, render: 34ms)
[?25h
