▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1261ms
 GET /test-sell-transaction 200 in 212ms (compile: 11ms, proxy.ts: 33ms, render: 167ms)
 GET /login 200 in 196ms (compile: 26ms, proxy.ts: 16ms, render: 155ms)
 GET /test-freedom-card 200 in 197ms (compile: 47ms, proxy.ts: 13ms, render: 137ms)
 GET /test-sell-transaction 200 in 217ms (compile: 14ms, proxy.ts: 26ms, render: 177ms)
 GET /login 200 in 204ms (compile: 32ms, proxy.ts: 14ms, render: 158ms)
 GET /test-freedom-card 200 in 210ms (compile: 66ms, proxy.ts: 14ms, render: 130ms)
 GET /test-sell-transaction 200 in 225ms (compile: 21ms, proxy.ts: 31ms, render: 173ms)
 GET /login 200 in 209ms (compile: 34ms, proxy.ts: 17ms, render: 158ms)
 GET /test-freedom-card 200 in 211ms (compile: 49ms, proxy.ts: 15ms, render: 147ms)
 GET /test-sell-transaction 200 in 222ms (compile: 18ms, proxy.ts: 33ms, render: 171ms)
 GET /login 200 in 205ms (compile: 36ms, proxy.ts: 17ms, render: 152ms)
