▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /test-phase-transition 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-phase-transition 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-phase-transition 200 in 36ms (compile: 5ms, proxy.ts: 4ms, render: 28ms)
 GET /test-phase-transition 200 in 55ms (compile: 4ms, proxy.ts: 8ms, render: 43ms)
 GET /test-phase-transition 200 in 39ms (compile: 3ms, proxy.ts: 8ms, render: 28ms)
 GET /test-phase-transition 200 in 40ms (compile: 6ms, proxy.ts: 7ms, render: 27ms)
 GET /test-phase-transition 200 in 60ms (compile: 7ms, proxy.ts: 5ms, render: 48ms)
 GET /test-phase-transition 200 in 38ms (compile: 6ms, proxy.ts: 5ms, render: 27ms)
 GET /test-phase-transition 200 in 59ms (compile: 6ms, proxy.ts: 6ms, render: 47ms)
 GET /test-phase-transition 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /test-phase-transition 200 in 55ms (compile: 4ms, proxy.ts: 6ms, render: 45ms)
 GET /test-phase-transition 200 in 69ms (compile: 3ms, proxy.ts: 7ms, render: 59ms)
 GET /test-phase-transition 200 in 73ms (compile: 4ms, proxy.ts: 5ms, render: 64ms)
 GET /test-phase-transition 200 in 76ms (compile: 4ms, proxy.ts: 7ms, render: 65ms)
 GET /test-phase-transition 200 in 74ms (compile: 6ms, proxy.ts: 8ms, render: 60ms)
 GET /test-phase-transition 200 in 63ms (compile: 6ms, proxy.ts: 10ms, render: 47ms)
 GET /test-phase-transition 200 in 60ms (compile: 3ms, proxy.ts: 5ms, render: 51ms)
 GET /test-phase-transition 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 27ms)
 GET /test-phase-transition 200 in 60ms (compile: 5ms, proxy.ts: 5ms, render: 50ms)
 GET /test-phase-transition 200 in 64ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /test-phase-transition 200 in 64ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /test-phase-transition 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /test-phase-transition 200 in 38ms (compile: 4ms, proxy.ts: 7ms, render: 26ms)
 GET /test-phase-transition 200 in 59ms (compile: 4ms, proxy.ts: 7ms, render: 48ms)
 GET /test-phase-transition 200 in 67ms (compile: 5ms, proxy.ts: 6ms, render: 57ms)
 GET /test-phase-transition 200 in 63ms (compile: 4ms, proxy.ts: 9ms, render: 50ms)
