▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4444
- Network:       http://192.168.86.37:4444
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1058ms
 GET /test-sovereignty-gating 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 3ms, proxy.ts: 7ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 52ms (compile: 4ms, proxy.ts: 5ms, render: 43ms)
 GET /test-sovereignty-gating 200 in 62ms (compile: 3ms, proxy.ts: 5ms, render: 54ms)
 GET /test-sovereignty-gating 200 in 62ms (compile: 3ms, proxy.ts: 8ms, render: 50ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 3ms, proxy.ts: 7ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 43ms (compile: 4ms, proxy.ts: 6ms, render: 33ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 3ms, proxy.ts: 4ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 39ms (compile: 5ms, proxy.ts: 7ms, render: 27ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 5ms, proxy.ts: 7ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 37ms (compile: 6ms, proxy.ts: 5ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 7ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 56ms (compile: 5ms, proxy.ts: 6ms, render: 46ms)
 GET /test-sovereignty-gating 200 in 37ms (compile: 4ms, proxy.ts: 5ms, render: 28ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 4ms, proxy.ts: 7ms, render: 23ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 74ms (compile: 4ms, proxy.ts: 6ms, render: 64ms)
 GET /test-sovereignty-gating 200 in 43ms (compile: 6ms, proxy.ts: 9ms, render: 29ms)
 GET /test-sovereignty-gating 200 in 41ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /test-sovereignty-gating 200 in 39ms (compile: 6ms, proxy.ts: 7ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 43ms (compile: 6ms, proxy.ts: 6ms, render: 31ms)
 GET /test-sovereignty-gating 200 in 42ms (compile: 4ms, proxy.ts: 5ms, render: 33ms)
 GET /test-sovereignty-gating 200 in 37ms (compile: 5ms, proxy.ts: 7ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /test-sovereignty-gating 200 in 38ms (compile: 9ms, proxy.ts: 6ms, render: 24ms)
 GET /test-sovereignty-gating 200 in 34ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
